placement,candidate,dataset,analysis_level,metric,mean,sample_sd,n_seeds,threshold_origin,threshold_mean,threshold_sample_sd,source_constraint_mean
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,UADFV,analysis_unit,ece_15,0.13867858072857633,0.025774074943661882,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,UADFV,analysis_unit,f1_source_fixed,0.879130667141712,0.029003790132978432,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,UADFV,analysis_unit,target_eer_descriptive,0.04761904761904762,0.011782658554890298,3,target_descriptive,0.7348738370539346,0.07374188658281296,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,UADFV,frame,tpr_at_source_fpr_0.001,0.5338491295938105,0.2872345852675993,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,UADFV,frame,tpr_at_source_fpr_0.01,0.9361702127659575,0.016911511345717604,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,analysis_unit,brier,0.12718876618401506,0.0016442939957653194,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,analysis_unit,ece_15,0.14240171145905361,0.023669031557341177,3,none,,,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,analysis_unit,f1_source_fixed,0.8788809846243013,0.020181781635230746,3,source_validation,0.500051378068226,9.191016829727037e-05,0.9976275207591933
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,analysis_unit,target_eer_descriptive,0.1370255348516218,0.010858385916914157,3,target_descriptive,0.4120378771676769,0.04789584711170191,
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,frame,tpr_at_source_fpr_0.001,0.22481884057971013,0.026508612961104048,3,source_validation,0.9999900261561075,3.48844214339075e-06,0.0008934554389099843
MLP+Attn-Out,std_mlp_attn_out_r5_alpha20_p025,WildDeepfake,frame,tpr_at_source_fpr_0.01,0.4682065217391304,0.0008152173913043292,3,source_validation,0.9998704592386881,1.966784691569899e-05,0.009828009828009828
MLP,std_mlp_r6_alpha24_p025,Celeb-DF-v2,analysis_unit,brier,0.07559984870840368,0.006728433582488592,3,none,,,
MLP,std_mlp_r6_alpha24_p025,Celeb-DF-v2,analysis_unit,ece_15,0.07641918092359455,0.007344708586146877,3,none,,,
MLP,std_mlp_r6_alpha24_p025,Celeb-DF-v2,analysis_unit,f1_source_fixed,0.9287724142106416,0.006593857757102473,3,source_validation,0.500110682966446,7.552190913516226e-05,0.9988137603795967
MLP,std_mlp_r6_alpha24_p025,Celeb-DF-v2,analysis_unit,target_eer_descriptive,0.09053205551883675,0.0057501652346331755,3,target_descriptive,0.754816230705425,0.05364060432124754,
MLP,std_mlp_r6_alpha24_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.001,0.44558641975308644,0.07087757837062145,3,source_validation,0.9999872048695883,6.891836722512862e-06,0.0008934554389099843
MLP,std_mlp_r6_alpha24_p025,Celeb-DF-v2,frame,tpr_at_source_fpr_0.01,0.7598148148148148,0.03549292806161298,3,source_validation,0.9998226761817932,0.00010092812452987337,0.009828009828009828
MLP,std_mlp_r6_alpha24_p025,DFDC,analysis_unit,brier,0.15840054748021545,0.01032743458798016,3,none,,,
MLP,std_mlp_r6_alpha24_p025,DFDC,analysis_unit,ece_15,0.10937440898734052,0.02844852627895685,3,none,,,
MLP,std_mlp_r6_alpha24_p025,DFDC,analysis_unit,f1_source_fixed,0.7684542990077723,0.02744116825359633,3,source_validation,0.500110682966446,7.552190913516226e-05,0.9988137603795967
MLP,std_mlp_r6_alpha24_p025,DFDC,analysis_unit,target_eer_descriptive,0.202451751955281,0.008465827315271983,3,target_descriptive,0.2941359701160962,0.0869521410993647,
MLP,std_mlp_r6_alpha24_p025,DFDC,frame,tpr_at_source_fpr_0.001,0.34336465701297003,0.07850095145442275,3,source_validation,0.9999872048695883,6.891836722512862e-06,0.0008934554389099843
MLP,std_mlp_r6_alpha24_p025,DFDC,frame,tpr_at_source_fpr_0.01,0.516438880093729,0.05775694592640638,3,source_validation,0.9998226761817932,0.00010092812452987337,0.009828009828009828
MLP,std_mlp_r6_alpha24_p025,DFDCP,analysis_unit,brier,0.12102616820203885,0.017618577756301164,3,none,,,
MLP,std_mlp_r6_alpha24_p025,DFDCP,analysis_unit,ece_15,0.09749361016691073,0.045371917111232986,3,none,,,
MLP,std_mlp_r6_alpha24_p025,DFDCP,analysis_unit,f1_source_fixed,0.8636532123334641,0.029760502841267692,3,source_validation,0.500110682966446,7.552190913516226e-05,0.9988137603795967
MLP,std_mlp_r6_alpha24_p025,DFDCP,analysis_unit,target_eer_descriptive,0.14210454014698812,0.0033073021808101514,3,target_descriptive,0.3994685068366077,0.11403616092104896,
MLP,std_mlp_r6_alpha24_p025,DFDCP,frame,tpr_at_source_fpr_0.001,0.39036598651473664,0.09364298422909278,3,source_validation,0.9999872048695883,6.891836722512862e-06,0.0008934554389099843
MLP,std_mlp_r6_alpha24_p025,DFDCP,frame,tpr_at_source_fpr_0.01,0.6245031357653917,0.0555558284235394,3,source_validation,0.9998226761817932,0.00010092812452987337,0.009828009828009828
MLP,std_mlp_r6_alpha24_p025,DeeperForensics-1.0,analysis_unit,brier,0.006964733802677593,0.0029450345250693483,3,none,,,
MLP,std_mlp_r6_alpha24_p025,DeeperForensics-1.0,analysis_unit,ece_15,0.0255894190052369,0.009575639263794148,3,none,,,
MLP,std_mlp_r6_alpha24_p025,DeeperForensics-1.0,analysis_unit,f1_source_fixed,0.5936172826093288,0.11945211646480439,3,source_validation,0.500110682966446,7.552190913516226e-05,0.9988137603795967
MLP,std_mlp_r6_alpha24_p025,DeeperForensics-1.0,analysis_unit,target_eer_descriptive,0.025129705672625343,0.008135165213117836,3,target_descriptive,0.22012225543342842,0.022465180125213518,
MLP,std_mlp_r6_alpha24_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.001,0.5731922398589065,0.11156074467012929,3,source_validation,0.9999872048695883,6.891836722512862e-06,0.0008934554389099843
MLP,std_mlp_r6_alpha24_p025,DeeperForensics-1.0,frame,tpr_at_source_fpr_0.01,0.8056333644568939,0.052391917526425656,3,source_validation,0.9998226761817932,0.00010092812452987337,0.009828009828009828
MLP,std_mlp_r6_alpha24_p025,UADFV,analysis_unit,brier,0.07905883758432362,0.02125720388254327,3,none,,,
MLP,std_mlp_r6_alpha24_p025,UADFV,analysis_unit,ece_15,0.12978894874112595,0.02396393095639921,3,none,,,
MLP,std_mlp_r6_alpha24_p025,UADFV,analysis_unit,f1_source_fixed,0.8876355116088746,0.03351953889389355,3,source_validation,0.500110682966446,7.552190913516226e-05,0.9988137603795967
MLP,std_mlp_r6_alpha24_p025,UADFV,analysis_unit,target_eer_descriptive,0.04761904761904762,0.011782658554890298,3,target_descriptive,0.7632240439689224,0.053866496028834504,
MLP,std_mlp_r6_alpha24_p025,UADFV,frame,tpr_at_source_fpr_0.001,0.6438856651622609,0.17293883734971902,3,source_validation,0.9999872048695883,6.891836722512862e-06,0.0008934554389099843
MLP,std_mlp_r6_alpha24_p025,UADFV,frame,tpr_at_source_fpr_0.01,0.9428325811304534,0.020594878758749408,3,source_validation,0.9998226761817932,0.00010092812452987337,0.009828009828009828
MLP,std_mlp_r6_alpha24_p025,WildDeepfake,analysis_unit,brier,0.13323770453596287,0.014218584792785269,3,none,,,
MLP,std_mlp_r6_alpha24_p025,WildDeepfake,analysis_unit,ece_15,0.14684070088905155,0.05026261516698919,3,none,,,
MLP,std_mlp_r6_alpha24_p025,WildDeepfake,analysis_unit,f1_source_fixed,0.8623715553016417,0.03707753708197828,3,source_validation,0.500110682966446,7.552190913516226e-05,0.9988137603795967
MLP,std_mlp_r6_alpha24_p025,WildDeepfake,analysis_unit,target_eer_descriptive,0.1561766735679779,0.02629752778917549,3,target_descriptive,0.42313444319612853,0.08458375791100572,
MLP,std_mlp_r6_alpha24_p025,WildDeepfake,frame,tpr_at_source_fpr_0.001,0.23478260869565218,0.0442634600869135,3,source_validation,0.9999872048695883,6.891836722512862e-06,0.0008934554389099843
MLP,std_mlp_r6_alpha24_p025,WildDeepfake,frame,tpr_at_source_fpr_0.01,0.45914855072463767,0.051366842387374774,3,source_validation,0.9998226761817932,0.00010092812452987337,0.009828009828009828
